Project,Total Files,Total Folders,Lines of Code,React Components,Express Routes,Mongoose Models,JS Files,JSX Files,JSON Files,CSS Files
Team_03,32,13,8025,8,14,5,12,12,6,2
Team_05,53,14,14398,28,35,12,16,29,4,4
Team_06,44,13,7763,18,13,8,20,19,3,2
Team_10,30,13,15029,4,12,6,14,10,4,2
Team_13,28,8,25568,16,19,8,8,14,4,2
Team_14,42,12,12732,6,20,5,20,11,4,7
Team_16,54,25,5390,59,21,6,18,26,7,3
Team_20,46,18,10307,15,5,8,24,16,5,1
Team_21,23,11,18776,0,15,6,20,0,3,0
Team_22,51,18,30187,18,17,8,44,0,5,2
Team_25,42,15,18256,4,27,6,17,20,4,1
Team_26,29,10,4469,4,16,8,16,7,4,2
Team_27,53,18,5582,3,12,10,39,10,3,1
Team_28,37,13,21689,10,14,6,30,0,5,2
Team_29,36,14,20508,9,3,3,27,0,7,2
Team_31,23,11,976,4,5,2,9,6,2,6
Team_32,32,8,21847,1,15,4,25,0,5,2
Team_33,46,15,2534,14,8,6,31,0,3,12
