,Team_03,Team_05,Team_06,Team_10,Team_13,Team_14,Team_16,Team_20,Team_21,Team_22,Team_25,Team_26,Team_27,Team_28,Team_29,Team_31,Team_32,Team_33
Team_03,0.9999999,0.9990282,0.9994701,0.9943192,0.9990981,0.9994132,0.9982764,0.99924034,0.99783355,0.9983821,0.99033,0.998498,0.99884033,0.99836075,0.9981376,0.9965328,0.99836075,0.99607956
Team_05,0.9990282,1.0,0.9995075,0.995713,0.99898535,0.99949205,0.99740386,0.9985192,0.9975573,0.99910504,0.9912849,0.99906147,0.9988871,0.99913424,0.999,0.9972106,0.99913424,0.9972017
Team_06,0.9994701,0.9995075,0.9999999,0.99527705,0.9989382,0.99981564,0.9972479,0.99863744,0.9972327,0.9990132,0.989903,0.9987996,0.9985722,0.9990102,0.9984953,0.9966588,0.9990102,0.9965929
Team_10,0.9943192,0.995713,0.99527705,1.0,0.9953021,0.99564874,0.9914835,0.9942919,0.99340737,0.9950701,0.9885186,0.9943557,0.99473774,0.9953911,0.99563646,0.9927058,0.9953911,0.99367785
Team_13,0.9990981,0.99898535,0.9989382,0.9953021,1.0,0.9991466,0.9981419,0.9990945,0.99882114,0.9991314,0.9909631,0.9988025,0.9992515,0.9990831,0.99895185,0.99677014,0.9990831,0.9973005
Team_14,0.9994132,0.99949205,0.99981564,0.99564874,0.9991466,0.99999976,0.99736005,0.9988699,0.9975949,0.9989482,0.98995864,0.9988184,0.9987565,0.99900085,0.99857414,0.9968027,0.99900085,0.9967394
Team_16,0.9982764,0.99740386,0.9972479,0.9914835,0.9981419,0.99736005,0.9999997,0.9980767,0.99782735,0.9972757,0.99207896,0.9978386,0.9980205,0.9970591,0.9975628,0.99623203,0.9970591,0.99561083
Team_20,0.99924034,0.9985192,0.99863744,0.9942919,0.9990945,0.9988699,0.9980767,1.0,0.9987831,0.9974374,0.98924875,0.99845135,0.9992027,0.9973459,0.9979449,0.9962115,0.9973459,0.9956286
Team_21,0.99783355,0.9975573,0.9972327,0.99340737,0.99882114,0.9975949,0.99782735,0.9987831,1.0000002,0.99724704,0.98956823,0.9986074,0.9992317,0.99708366,0.99810076,0.9964367,0.99708366,0.99670637
Team_22,0.9983821,0.99910504,0.9990132,0.9950701,0.9991314,0.9989482,0.9972757,0.9974374,0.99724704,0.99999994,0.9910935,0.9986804,0.9981189,0.9999021,0.99893814,0.9965557,0.9999021,0.99749744
Team_25,0.99033,0.9912849,0.989903,0.9885186,0.9909631,0.98995864,0.99207896,0.98924875,0.98956823,0.9910935,0.99999994,0.99042404,0.99079096,0.9912826,0.9916613,0.9939028,0.9912826,0.99295366
Team_26,0.998498,0.99906147,0.9987996,0.9943557,0.9988025,0.9988184,0.9978386,0.99845135,0.9986074,0.9986804,0.99042404,1.0,0.9992183,0.9985851,0.99904925,0.9973502,0.9985851,0.99718475
Team_27,0.99884033,0.9988871,0.9985722,0.99473774,0.9992515,0.9987565,0.9980205,0.9992027,0.9992317,0.9981189,0.99079096,0.9992183,0.9999998,0.99805343,0.99877095,0.9973698,0.99805343,0.99714506
Team_28,0.99836075,0.99913424,0.9990102,0.9953911,0.9990831,0.99900085,0.9970591,0.9973459,0.99708366,0.9999021,0.9912826,0.9985851,0.99805343,1.0,0.9988924,0.99667835,1.0,0.997649
Team_29,0.9981376,0.999,0.9984953,0.99563646,0.99895185,0.99857414,0.9975628,0.9979449,0.99810076,0.99893814,0.9916613,0.99904925,0.99877095,0.9988924,1.0000001,0.99713147,0.9988924,0.9976574
Team_31,0.9965328,0.9972106,0.9966588,0.9927058,0.99677014,0.9968027,0.99623203,0.9962115,0.9964367,0.9965557,0.9939028,0.9973502,0.9973698,0.99667835,0.99713147,1.0000002,0.99667835,0.99837536
Team_32,0.99836075,0.99913424,0.9990102,0.9953911,0.9990831,0.99900085,0.9970591,0.9973459,0.99708366,0.9999021,0.9912826,0.9985851,0.99805343,1.0,0.9988924,0.99667835,1.0,0.997649
Team_33,0.99607956,0.9972017,0.9965929,0.99367785,0.9973005,0.9967394,0.99561083,0.9956286,0.99670637,0.99749744,0.99295366,0.99718475,0.99714506,0.997649,0.9976574,0.99837536,0.997649,1.0
